state,date,forecast_sales,model
Alabama,2023-12-10,372997462.74,Sample seasonal-naive preview
Alabama,2023-12-17,395409862.63,Sample seasonal-naive preview
Alabama,2023-12-24,417822262.52,Sample seasonal-naive preview
Alabama,2023-12-31,440234662.41,Sample seasonal-naive preview
Alabama,2024-01-07,462647062.3,Sample seasonal-naive preview
Alabama,2024-01-14,485059462.19,Sample seasonal-naive preview
Alabama,2024-01-21,507471862.08,Sample seasonal-naive preview
Alabama,2024-01-28,529884261.97,Sample seasonal-naive preview
Arizona,2023-12-10,408382638.93,Sample seasonal-naive preview
Arizona,2023-12-17,431501931.13,Sample seasonal-naive preview
Arizona,2023-12-24,454621223.34,Sample seasonal-naive preview
Arizona,2023-12-31,477740515.55,Sample seasonal-naive preview
Arizona,2024-01-07,500859807.76,Sample seasonal-naive preview
Arizona,2024-01-14,523979099.96,Sample seasonal-naive preview
Arizona,2024-01-21,547098392.17,Sample seasonal-naive preview
Arizona,2024-01-28,570217684.38,Sample seasonal-naive preview
Arkansas,2023-12-10,200102246.03,Sample seasonal-naive preview
Arkansas,2023-12-17,211418342.69,Sample seasonal-naive preview
Arkansas,2023-12-24,222734439.35,Sample seasonal-naive preview
Arkansas,2023-12-31,234050536.0,Sample seasonal-naive preview
Arkansas,2024-01-07,245366632.66,Sample seasonal-naive preview
Arkansas,2024-01-14,256682729.32,Sample seasonal-naive preview
Arkansas,2024-01-21,267998825.97,Sample seasonal-naive preview
Arkansas,2024-01-28,279314922.63,Sample seasonal-naive preview
California,2023-12-10,1609938310.81,Sample seasonal-naive preview
California,2023-12-17,1708230256.91,Sample seasonal-naive preview
California,2023-12-24,1806522203.01,Sample seasonal-naive preview
California,2023-12-31,1904814149.11,Sample seasonal-naive preview
California,2024-01-07,2003106095.21,Sample seasonal-naive preview
California,2024-01-14,2101398041.32,Sample seasonal-naive preview
California,2024-01-21,2199689987.42,Sample seasonal-naive preview
California,2024-01-28,2297981933.52,Sample seasonal-naive preview
Colorado,2023-12-10,322772387.76,Sample seasonal-naive preview
Colorado,2023-12-17,341973168.91,Sample seasonal-naive preview
Colorado,2023-12-24,361173950.06,Sample seasonal-naive preview
Colorado,2023-12-31,380374731.22,Sample seasonal-naive preview
Colorado,2024-01-07,399575512.37,Sample seasonal-naive preview
Colorado,2024-01-14,418776293.53,Sample seasonal-naive preview
Colorado,2024-01-21,437977074.68,Sample seasonal-naive preview
Colorado,2024-01-28,457177855.83,Sample seasonal-naive preview
